ax,ay,az,gx,gy,gz,time
0.02,-0.63,12.76,-0.03,-0.56,-0.22,1771658354.918118
-1.14,0.2,7.76,-0.07,-0.81,-0.07,1771658354.918219
-1.14,0.2,7.76,0.17,-0.75,-0.07,1771658354.918313
-1.97,0.14,6.69,0.35,-0.58,-0.09,1771658354.918408
-2.88,0.56,7.89,0.4,-0.44,-0.09,1771658354.9185019
-2.88,0.56,7.89,0.13,-0.05,-0.03,1771658354.918598
-3.55,0.63,7.81,-0.09,0.18,-0.02,1771658354.918693
-3.14,0.38,5.88,-0.27,0.35,0.02,1771658354.918785
-3.14,0.38,5.88,-0.4,0.55,0.15,1771658354.918877
-1.64,-0.3,4.89,-0.47,0.52,0.23,1771658354.918972
1.31,-1.27,8.66,-0.59,0.43,0.32,1771658354.919064
1.82,-1.02,12.68,-0.65,0.39,0.15,1771658354.919157
1.82,-1.02,12.68,-0.49,0.51,-0.08,1771658354.919253
2.73,0.87,16.47,0.01,0.57,-0.21,1771658354.9193442
0.43,0.4,17.14,0.21,0.18,-0.2,1771658354.926083
0.43,0.4,17.14,0.19,-0.02,-0.25,1771658354.939029
0.66,-0.29,10.81,0.22,-0.24,-0.14,1771658354.952066
-0.27,-0.14,7.99,0.46,-0.79,0.11,1771658354.965131
-1.43,0.41,7.44,0.48,-0.87,0.13,1771658354.978166
-1.43,0.41,7.44,0.45,-0.73,0.1,1771658354.991075
-1.91,0.49,6.86,0.12,-0.23,0.04,1771658355.004236
-1.5,-0.07,6.88,-0.09,0.1,-0.08,1771658355.0173252
-1.5,-0.07,6.88,-0.21,0.15,-0.07,1771658355.030282
-1.41,0.27,6.87,-0.35,-0.01,0.14,1771658355.0432699
-0.75,-0.87,8.38,-0.38,-0.03,0.18,1771658355.0562701
-0.75,-0.87,8.38,-0.63,-0.02,0.18,1771658355.069298
0.19,-0.96,10.92,0.07,0.1,0.04,1771658355.082239
0.34,-0.16,15.61,0.41,0.17,-0.14,1771658355.09533
1.09,0.19,16.1,0.22,0.05,-0.09,1771658355.108237
1.09,0.19,16.1,0.06,-0.11,-0.08,1771658355.1213021
0.57,0.13,10.25,0.06,-0.2,-0.05,1771658355.134284
