emg,ax,ay,az,gx,gy,gz,time
2068.0,-0.06,0.08,10.04,0.01,0.01,-0.0,1771668805.560534
17118.0,-0.06,0.08,10.04,0.01,0.02,-0.0,1771668805.560662
21549.0,-0.08,0.06,9.94,0.01,0.02,-0.0,1771668805.5607848
6479.0,-0.08,0.06,9.94,0.02,0.01,-0.0,1771668805.560899
8116.0,-0.05,0.04,9.99,0.01,0.01,0.0,1771668805.561009
23177.0,-0.11,0.02,10.0,0.01,0.01,0.0,1771668805.561127
15661.0,-0.11,0.02,10.0,0.01,0.01,0.0,1771668805.56125
1028.0,-0.09,0.04,10.01,0.01,0.01,-0.01,1771668805.5613701
13674.0,-0.09,0.04,10.03,0.02,0.01,-0.0,1771668805.561491
24636.0,-0.09,0.04,10.03,0.02,0.01,-0.0,1771668805.561616
9767.0,-0.13,0.01,9.99,0.01,0.01,0.0,1771668805.561729
4355.0,-0.07,0.06,9.96,0.01,0.01,-0.0,1771668805.56185
19351.0,-0.07,0.06,9.96,0.01,0.01,-0.01,1771668805.5619671
18818.0,-0.1,0.06,9.93,0.01,0.01,-0.0,1771668805.56209
3509.0,-0.12,0.02,9.99,0.02,0.01,-0.0,1771668805.562204
10055.0,-0.12,0.02,9.99,0.01,0.01,0.0,1771668805.5623198
24712.0,-0.07,0.01,10.03,0.01,0.01,-0.0,1771668805.5624452
12729.0,-0.07,0.05,9.89,0.01,0.01,-0.0,1771668805.5625641
1009.0,-0.07,0.05,9.89,0.01,0.01,-0.0,1771668805.562677
15615.0,-0.12,-0.01,9.98,0.01,0.01,-0.0,1771668805.562814
21971.0,-0.08,0.03,9.97,0.01,0.01,-0.0,1771668805.562944
6740.0,-0.08,0.03,9.97,0.01,0.01,-0.0,1771668805.563086
6385.0,-0.07,0.08,9.96,0.01,0.01,-0.01,1771668805.563284
21368.0,-0.07,0.0,9.97,0.01,0.01,-0.0,1771668805.5634089
15848.0,-0.07,0.0,9.97,0.01,0.01,0.0,1771668805.563524
982.0,-0.07,0.05,9.96,0.01,0.01,-0.01,1771668805.563636
11842.0,-0.07,0.05,9.96,0.01,0.01,-0.0,1771668805.563761
24459.0,-0.08,-0.0,10.0,0.01,0.01,-0.01,1771668805.563885
9949.0,-0.09,0.06,9.99,0.01,0.01,0.0,1771668805.5639958
2453.0,-0.09,0.06,9.99,0.01,0.01,0.0,1771668805.5641081
17466.0,-0.07,0.07,10.0,0.01,0.01,-0.0,1771668805.564237
19217.0,-0.06,0.09,9.99,0.01,0.01,0.0,1771668805.564363
4003.0,-0.06,0.09,9.99,0.01,0.01,-0.0,1771668805.56448
8303.0,-0.16,0.02,9.97,0.01,0.01,-0.01,1771668805.5646012
23440.0,-0.1,0.04,9.98,0.02,0.01,0.0,1771668805.564704
13346.0,-0.1,0.04,9.98,0.01,0.01,-0.0,1771668805.564808
312.0,-0.07,0.07,9.98,0.01,0.01,-0.01,1771668805.564907
14016.0,-0.12,0.09,9.97,0.01,0.01,0.0,1771668805.5650182
22679.0,-0.12,0.09,9.97,0.01,0.01,-0.0,1771668805.565123
7534.0,-0.08,0.02,10.01,0.01,0.01,0.0,1771668805.565225
4837.0,-0.1,0.04,10.0,0.01,0.01,-0.0,1771668805.5653381
19884.0,-0.1,0.04,10.0,0.01,0.01,0.0,1771668805.5654552
16810.0,-0.07,0.0,10.01,0.01,0.01,0.0,1771668805.56556
1640.0,-0.12,0.05,9.96,0.01,0.01,0.0,1771668805.565666
10610.0,-0.12,0.05,9.96,0.01,0.01,0.0,1771668805.565771
24457.0,-0.06,0.0,9.98,0.01,0.01,0.0,1771668805.565873
10827.0,-0.06,0.05,9.94,0.01,0.01,-0.01,1771668805.565978
1356.0,-0.06,0.05,9.94,0.01,0.01,-0.0,1771668805.566093
16068.0,-0.07,0.05,9.99,0.01,0.01,-0.0,1771668805.566198
20088.0,-0.07,0.05,9.99,0.01,0.01,-0.01,1771668805.566304
4793.0,-0.06,0.06,9.93,0.01,0.01,-0.0,1771668805.5664158
6510.0,-0.1,0.03,9.91,0.01,0.01,0.0,1771668805.5665221
21614.0,-0.1,0.03,9.91,0.01,0.01,0.0,1771668805.5666308
14131.0,-0.15,0.07,9.97,0.02,0.01,-0.01,1771668805.566736
367.0,-0.08,0.08,10.0,0.02,0.01,-0.0,1771668805.566847
12775.0,-0.08,0.08,10.0,0.01,0.01,-0.0,1771668805.566955
23749.0,-0.11,0.01,9.93,0.01,0.01,0.0,1771668805.567056
8667.0,-0.16,0.13,9.98,0.01,0.01,0.0,1771668805.567308
3482.0,-0.16,0.13,9.98,0.01,0.01,-0.0,1771668805.5674188
18484.0,-0.1,0.02,10.03,0.01,0.01,-0.0,1771668805.5675268
17816.0,-0.12,0.05,9.98,0.01,0.01,-0.0,1771668805.567632
2675.0,-0.12,0.05,9.98,0.01,0.01,-0.01,1771668805.567743
